Product ID,Name,Sales,Product Category,Unit Price,Total Amount,Date,Weekday,Holiday Effect,Promotion Effect
1,Mobile,136.0,Electronics,700.0,95200.0,2021-01-01,4,1.0,1.0
1,Mobile,167.0,Electronics,700.0,116900.0,2021-01-02,5,1.0,1.0
1,Mobile,183.0,Electronics,700.0,128100.0,2021-01-03,6,1.0,1.0
1,Mobile,119.0,Electronics,700.0,83300.0,2021-01-04,0,1.0,1.0
1,Mobile,103.0,Electronics,700.0,72100.0,2021-01-05,1,1.0,1.0
1,Mobile,118.0,Electronics,700.0,82600.0,2021-01-06,2,1.0,1.0
1,Mobile,128.0,Electronics,700.0,89600.0,2021-01-07,3,1.0,1.0
1,Mobile,103.0,Electronics,700.0,72100.0,2021-01-08,4,1.0,1.0
1,Mobile,153.0,Electronics,700.0,107100.0,2021-01-09,5,1.0,1.0
1,Mobile,139.0,Electronics,700.0,97300.0,2021-01-10,6,1.0,1.0
1,Mobile,111.0,Electronics,700.0,77700.0,2021-01-11,0,1.0,1.0
1,Mobile,150.0,Electronics,700.0,105000.0,2021-01-12,1,1.0,1.0
1,Mobile,114.0,Electronics,700.0,79800.0,2021-01-13,2,1.0,1.0
1,Mobile,96.0,Electronics,700.0,67200.0,2021-01-14,3,1.0,1.0
1,Mobile,124.0,Electronics,700.0,86800.0,2021-01-15,4,1.0,1.0
1,Mobile,166.0,Electronics,700.0,116200.0,2021-01-16,5,1.0,1.0
1,Mobile,152.0,Electronics,700.0,106400.0,2021-01-17,6,1.0,1.0
1,Mobile,141.0,Electronics,700.0,98700.0,2021-01-18,0,1.0,1.0
1,Mobile,142.0,Electronics,700.0,99400.0,2021-01-19,1,1.0,1.0
1,Mobile,120.0,Electronics,700.0,84000.0,2021-01-20,2,1.0,1.0
1,Mobile,128.0,Electronics,700.0,89600.0,2021-01-21,3,1.0,1.0
1,Mobile,123.0,Electronics,700.0,86100.0,2021-01-22,4,1.0,1.0
1,Mobile,181.0,Electronics,700.0,126700.0,2021-01-23,5,1.0,1.0
1,Mobile,150.0,Electronics,700.0,105000.0,2021-01-24,6,1.0,1.0
1,Mobile,112.0,Electronics,700.0,78400.0,2021-01-25,0,1.0,1.0
1,Mobile,105.0,Electronics,700.0,73500.0,2021-01-26,1,1.0,1.0
1,Mobile,122.0,Electronics,700.0,85400.0,2021-01-27,2,1.0,1.0
1,Mobile,109.0,Electronics,700.0,76300.0,2021-01-28,3,1.0,1.0
1,Mobile,115.0,Electronics,700.0,80500.0,2021-01-29,4,1.0,1.0
1,Mobile,186.0,Electronics,700.0,130200.0,2021-01-30,5,1.0,1.0
1,Mobile,152.0,Electronics,700.0,106400.0,2021-01-31,6,1.0,1.0
1,Mobile,105.0,Electronics,700.0,73500.0,2021-02-01,0,1.0,1.0
1,Mobile,101.0,Electronics,700.0,70700.0,2021-02-02,1,1.0,1.0
1,Mobile,114.0,Electronics,700.0,79800.0,2021-02-03,2,1.0,1.0
1,Mobile,136.0,Electronics,700.0,95200.0,2021-02-04,3,1.0,1.0
1,Mobile,130.0,Electronics,700.0,91000.0,2021-02-05,4,1.0,1.0
1,Mobile,162.0,Electronics,700.0,113400.0,2021-02-06,5,1.0,1.0
1,Mobile,183.0,Electronics,700.0,128100.0,2021-02-07,6,1.0,1.0
1,Mobile,127.0,Electronics,700.0,88900.0,2021-02-08,0,1.0,1.0
1,Mobile,93.0,Electronics,700.0,65100.0,2021-02-09,1,1.0,1.0
1,Mobile,95.0,Electronics,700.0,66500.0,2021-02-10,2,1.0,1.0
1,Mobile,99.0,Electronics,700.0,69300.0,2021-02-11,3,1.0,1.0
1,Mobile,78.0,Electronics,700.0,54600.0,2021-02-12,4,1.0,1.0
1,Mobile,156.0,Electronics,700.0,109200.0,2021-02-13,5,1.0,1.0
1,Mobile,177.0,Electronics,700.0,123900.0,2021-02-14,6,1.0,1.0
1,Mobile,131.0,Electronics,700.0,91700.0,2021-02-15,0,1.0,1.0
1,Mobile,135.0,Electronics,700.0,94500.0,2021-02-16,1,1.0,1.0
1,Mobile,124.0,Electronics,700.0,86800.0,2021-02-17,2,1.0,1.0
1,Mobile,136.0,Electronics,700.0,95200.0,2021-02-18,3,1.0,1.0
1,Mobile,132.0,Electronics,700.0,92400.0,2021-02-19,4,1.0,1.0
1,Mobile,154.0,Electronics,700.0,107800.0,2021-02-20,5,1.0,1.0
1,Mobile,161.0,Electronics,700.0,112700.0,2021-02-21,6,1.0,1.0
1,Mobile,102.0,Electronics,700.0,71400.0,2021-02-22,0,1.0,1.0
1,Mobile,120.0,Electronics,700.0,84000.0,2021-02-23,1,1.0,1.0
1,Mobile,97.0,Electronics,700.0,67900.0,2021-02-24,2,1.0,1.0
1,Mobile,94.0,Electronics,700.0,65800.0,2021-02-25,3,1.0,1.0
1,Mobile,120.0,Electronics,700.0,84000.0,2021-02-26,4,1.0,1.0
1,Mobile,151.0,Electronics,700.0,105700.0,2021-02-27,5,1.0,1.0
1,Mobile,155.0,Electronics,700.0,108500.0,2021-02-28,6,1.0,1.0
1,Mobile,134.0,Electronics,700.0,93800.0,2021-03-01,0,1.0,1.0
1,Mobile,137.0,Electronics,700.0,95900.0,2021-03-02,1,1.0,1.0
1,Mobile,107.0,Electronics,700.0,74900.0,2021-03-03,2,1.0,1.0
1,Mobile,129.0,Electronics,700.0,90300.0,2021-03-04,3,1.0,1.0
1,Mobile,109.0,Electronics,700.0,76300.0,2021-03-05,4,1.0,1.0
1,Mobile,172.0,Electronics,700.0,120400.0,2021-03-06,5,1.0,1.0
1,Mobile,162.0,Electronics,700.0,113400.0,2021-03-07,6,1.0,1.0
1,Mobile,101.0,Electronics,700.0,70700.0,2021-03-08,0,1.0,1.0
1,Mobile,119.0,Electronics,700.0,83300.0,2021-03-09,1,1.0,1.0
1,Mobile,133.0,Electronics,700.0,93100.0,2021-03-10,2,1.0,1.0
1,Mobile,103.0,Electronics,700.0,72100.0,2021-03-11,3,1.0,1.0
1,Mobile,154.0,Electronics,700.0,107800.0,2021-03-12,4,1.0,1.0
1,Mobile,165.0,Electronics,700.0,115500.0,2021-03-13,5,1.0,1.0
1,Mobile,159.0,Electronics,700.0,111300.0,2021-03-14,6,1.0,1.0
1,Mobile,115.0,Electronics,700.0,80500.0,2021-03-15,0,1.0,1.0
1,Mobile,108.0,Electronics,700.0,75600.0,2021-03-16,1,1.0,1.0
1,Mobile,109.0,Electronics,700.0,76300.0,2021-03-17,2,1.0,1.0
1,Mobile,113.0,Electronics,700.0,79100.0,2021-03-18,3,1.0,1.0
1,Mobile,133.0,Electronics,700.0,93100.0,2021-03-19,4,1.0,1.0
1,Mobile,156.0,Electronics,700.0,109200.0,2021-03-20,5,1.0,1.0
1,Mobile,188.0,Electronics,700.0,131600.0,2021-03-21,6,1.0,1.0
1,Mobile,137.0,Electronics,700.0,95900.0,2021-03-22,0,1.0,1.0
1,Mobile,108.0,Electronics,700.0,75600.0,2021-03-23,1,1.0,1.0
1,Mobile,97.0,Electronics,700.0,67900.0,2021-03-24,2,1.0,1.0
1,Mobile,109.0,Electronics,700.0,76300.0,2021-03-25,3,1.0,1.0
1,Mobile,129.0,Electronics,700.0,90300.0,2021-03-26,4,1.0,1.0
1,Mobile,190.0,Electronics,700.0,133000.0,2021-03-27,5,1.0,1.0
